id,name,pokedex number,supertype,subtypes,hp,types,attacks,weaknesses,retreat cost,set name,release date,artist,rarity,card image (small),card image hires,tcg player url,tcg price date,tcg market price usd (normal),tcg low price usd (normal),tcg high price usd (normal),tcg market price usd (reverse holofoil),tcg low price usd (reverse holofoil),tcg high price usd (reverse holofoil),tcg market price usd (holofoil),tcg low price usd (holofoil),tcg high price usd (holofoil),count,score
base1-1,Alakazam,65.0,Pokémon,Stage 2,80,Psychic,Confuse Ray (30),Psychic ×2,3,Base,1999/01/09,Ken Sugimori,Rare Holo,https://images.pokemontcg.io/base1/1.png,https://images.pokemontcg.io/base1/1_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-1,2025/04/12,,,,,,,64.38,29.5,102.87,0,0
base1-4,Charizard,6.0,Pokémon,Stage 2,120,Fire,Fire Spin (100),Water ×2,3,Base,1999/01/09,Mitsuhiro Arita,Rare Holo,https://images.pokemontcg.io/base1/4.png,https://images.pokemontcg.io/base1/4_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-4,2025/04/12,,,,,,,460.29,288.99,1000.0,0,0
base1-5,Clefairy,35.0,Pokémon,Basic,40,Colorless,"Sing (), Metronome ()",Fighting ×2,1,Base,1999/01/09,Ken Sugimori,Rare Holo,https://images.pokemontcg.io/base1/5.png,https://images.pokemontcg.io/base1/5_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-5,2025/04/12,,,,,,,27.63,10.0,44.99,0,0
base1-2,Blastoise,9.0,Pokémon,Stage 2,100,Water,Hydro Pump (40+),Lightning ×2,3,Base,1999/01/09,Ken Sugimori,Rare Holo,https://images.pokemontcg.io/base1/2.png,https://images.pokemontcg.io/base1/2_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-2,2025/04/12,,,,,,,162.3,101.42,260.98,0,0
base1-3,Chansey,113.0,Pokémon,Basic,120,Colorless,"Scrunch (), Double-edge (80)",Fighting ×2,1,Base,1999/01/09,Ken Sugimori,Rare Holo,https://images.pokemontcg.io/base1/3.png,https://images.pokemontcg.io/base1/3_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-3,2025/04/12,,,,,,,36.73,16.0,4321.0,0,0
base1-6,Gyarados,130.0,Pokémon,Stage 1,100,Water,"Dragon Rage (50), Bubblebeam (40)",Grass ×2,3,Base,1999/01/09,Mitsuhiro Arita,Rare Holo,https://images.pokemontcg.io/base1/6.png,https://images.pokemontcg.io/base1/6_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-6,2025/04/12,,,,,,,40.48,17.68,4321.0,0,0
base1-7,Hitmonchan,107.0,Pokémon,Basic,70,Fighting,"Jab (20), Special Punch (40)",Psychic ×2,2,Base,1999/01/09,Ken Sugimori,Rare Holo,https://images.pokemontcg.io/base1/7.png,https://images.pokemontcg.io/base1/7_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-7,2025/04/12,,,,,,,20.65,7.26,999.99,0,0
base1-9,Magneton,82.0,Pokémon,Stage 1,60,Lightning,"Thunder Wave (30), Selfdestruct (80)",Fighting ×2,1,Base,1999/01/09,Keiji Kinebuchi,Rare Holo,https://images.pokemontcg.io/base1/9.png,https://images.pokemontcg.io/base1/9_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-9,2025/04/12,,,,,,,21.13,9.25,100.0,0,0
base1-8,Machamp,68.0,Pokémon,Stage 2,100,Fighting,Seismic Toss (60),Psychic ×2,3,Base,1999/01/09,Ken Sugimori,Rare Holo,https://images.pokemontcg.io/base1/8.png,https://images.pokemontcg.io/base1/8_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-8,2023/03/27,,,,,,,,,,0,0
base1-10,Mewtwo,150.0,Pokémon,Basic,60,Psychic,"Psychic (10+), Barrier ()",Psychic ×2,3,Base,1999/01/09,Ken Sugimori,Rare Holo,https://images.pokemontcg.io/base1/10.png,https://images.pokemontcg.io/base1/10_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-10,2025/04/12,,,,,,,46.43,18.99,9999.0,0,0
base1-11,Nidoking,34.0,Pokémon,Stage 2,90,Grass,"Thrash (30+), Toxic (20)",Psychic ×2,3,Base,1999/01/09,Ken Sugimori,Rare Holo,https://images.pokemontcg.io/base1/11.png,https://images.pokemontcg.io/base1/11_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-11,2025/04/12,,,,,,,25.83,15.0,100.0,0,0
base1-12,Ninetales,38.0,Pokémon,Stage 1,80,Fire,"Lure (), Fire Blast (80)",Water ×2,1,Base,1999/01/09,Ken Sugimori,Rare Holo,https://images.pokemontcg.io/base1/12.png,https://images.pokemontcg.io/base1/12_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-12,2025/04/12,,,,,,,23.31,10.99,79.98,0,0
base1-13,Poliwrath,62.0,Pokémon,Stage 2,90,Water,"Water Gun (30+), Whirlpool (40)",Grass ×2,3,Base,1999/01/09,Ken Sugimori,Rare Holo,https://images.pokemontcg.io/base1/13.png,https://images.pokemontcg.io/base1/13_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-13,2025/04/12,,,,,,,28.75,15.5,54.99,0,0
base1-15,Venusaur,3.0,Pokémon,Stage 2,100,Grass,Solarbeam (60),Fire ×2,2,Base,1999/01/09,Mitsuhiro Arita,Rare Holo,https://images.pokemontcg.io/base1/15.png,https://images.pokemontcg.io/base1/15_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-15,2025/04/12,,,,,,,125.19,64.99,300.0,0,0
base1-17,Beedrill,15.0,Pokémon,Stage 2,80,Grass,"Twineedle (30×), Poison Sting (40)",Fire ×2,0,Base,1999/01/09,Ken Sugimori,Rare,https://images.pokemontcg.io/base1/17.png,https://images.pokemontcg.io/base1/17_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-17,2025/04/12,3.73,1.25,9999.0,,,,,,,0,0
base1-14,Raichu,26.0,Pokémon,Stage 1,80,Lightning,"Agility (20), Thunder (60)",Fighting ×2,1,Base,1999/01/09,Ken Sugimori,Rare Holo,https://images.pokemontcg.io/base1/14.png,https://images.pokemontcg.io/base1/14_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-14,2025/04/12,,,,,,,43.16,28.0,78.75,0,0
base1-16,Zapdos,145.0,Pokémon,Basic,90,Lightning,"Thunder (60), Thunderbolt (100)",,3,Base,1999/01/09,Ken Sugimori,Rare Holo,https://images.pokemontcg.io/base1/16.png,https://images.pokemontcg.io/base1/16_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-16,2025/04/12,,,,,,,40.55,20.37,9999.0,0,0
base1-18,Dragonair,148.0,Pokémon,Stage 1,80,Colorless,"Slam (30×), Hyper Beam (20)",,2,Base,1999/01/09,Mitsuhiro Arita,Rare,https://images.pokemontcg.io/base1/18.png,https://images.pokemontcg.io/base1/18_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-18,2025/04/12,13.29,6.37,24.29,,,,,,,0,0
base1-19,Dugtrio,51.0,Pokémon,Stage 1,70,Fighting,"Slash (40), Earthquake (70)",Grass ×2,2,Base,1999/01/09,Keiji Kinebuchi,Rare,https://images.pokemontcg.io/base1/19.png,https://images.pokemontcg.io/base1/19_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-19,2025/04/12,6.83,2.99,13.52,,,,,,,0,0
